runId,round,timestamp,scenarioId,runNumber,occasion,weather,preferences,responseType,errorCode,returnedTopId,returnedBottomId,explanation,unmetRequirement,schemaValid,semanticValid,topIdValid,bottomIdValid,topTypeValid,bottomTypeValid,noInventedIds,expectedResultMatches,forbiddenIdsRespected,hardConstraintsRespected,noMatchCorrect,automatedPass,latencyMs,attempts,retryOccurred,model,effort,promptVersion,schemaVersion,occasionSuitability,weatherSuitability,outfitCoherence,constraintAdherence,explanationQuality,wardrobeSpecificity,failureCategory,notes
2026-07-27T07-41-51-675Z-s01-1,2026-07-27T07-41-51-675Z,2026-07-27T07:41:55.519Z,s01,1,Office day,Cold,Look polished but not overly formal,ok,,top_02,bottom_05,"The navy merino polo is warm and refined without being too formal, pairing well with grey tailored trousers for a polished, smart-casual office look suited to cold weather.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,3835,1,FALSE,claude-sonnet-5,low,v1,v1,5,5,5,5,4,5,,
2026-07-27T07-41-51-675Z-s01-2,2026-07-27T07-41-51-675Z,2026-07-27T07:41:58.887Z,s01,2,Office day,Cold,Look polished but not overly formal,ok,,top_02,bottom_05,"The navy merino polo is warm and refined without being too formal, pairing well with the grey tailored trousers for a polished office look suited to cold weather.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,3367,1,FALSE,claude-sonnet-5,low,v1,v1,5,5,5,5,4,5,,
2026-07-27T07-41-51-675Z-s02-1,2026-07-27T07-41-51-675Z,2026-07-27T07:42:02.059Z,s02,1,Dinner with a client,Cool,Smart and conservative,ok,,top_01,bottom_01,"The white Oxford shirt with charcoal wool trousers is smart, conservative, and warm enough for cool weather—ideal for a client dinner.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,3172,1,FALSE,claude-sonnet-5,low,v1,v1,5,5,5,5,4,5,,
2026-07-27T07-41-51-675Z-s02-2,2026-07-27T07-41-51-675Z,2026-07-27T07:42:05.220Z,s02,2,Dinner with a client,Cool,Smart and conservative,ok,,top_01,bottom_01,"The white Oxford shirt paired with charcoal wool trousers is smart, conservative, and warm enough for cool weather—perfect for a client dinner.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,3160,1,FALSE,claude-sonnet-5,low,v1,v1,5,5,5,5,4,5,,
2026-07-27T07-41-51-675Z-s03-1,2026-07-27T07-41-51-675Z,2026-07-27T07:42:09.299Z,s03,1,Smart-casual summer dinner,Hot and dry,Breathable clothing,ok,,top_04,bottom_04,"Both pieces are linen, which is breathable and ideal for hot, dry weather. Beige and white linen together create a smart-casual look suited to a summer dinner.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,4079,1,FALSE,claude-sonnet-5,low,v1,v1,5,5,5,5,5,5,,
2026-07-27T07-41-51-675Z-s03-2,2026-07-27T07-41-51-675Z,2026-07-27T07:42:12.712Z,s03,2,Smart-casual summer dinner,Hot and dry,Breathable clothing,ok,,top_04,bottom_04,"The beige linen shirt and white linen trousers are both breathable, lightweight linen pieces ideal for hot, dry weather, while still smart-casual enough for a summer dinner.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,3413,1,FALSE,claude-sonnet-5,low,v1,v1,5,5,5,5,4,5,,
2026-07-27T07-41-51-675Z-s04-1,2026-07-27T07-41-51-675Z,2026-07-27T07:42:16.592Z,s04,1,Casual weekend outing,Rainy and mild,Avoid linen,ok,,top_03,bottom_03,"A casual grey T-shirt with dark indigo jeans suits a relaxed weekend outing, avoiding linen and working well for mild, rainy weather.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,3879,1,FALSE,claude-sonnet-5,low,v1,v1,5,5,5,5,4,5,,
2026-07-27T07-41-51-675Z-s04-2,2026-07-27T07-41-51-675Z,2026-07-27T07:42:20.009Z,s04,2,Casual weekend outing,Rainy and mild,Avoid linen,ok,,top_03,bottom_03,"A casual grey T-shirt with dark indigo jeans is relaxed and perfect for a weekend outing. Both are cotton/denim, avoiding linen as requested, and suit mild rainy weather without being too heavy.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,3417,1,FALSE,claude-sonnet-5,low,v1,v1,5,5,5,5,5,5,,
2026-07-27T07-41-51-675Z-s05-1,2026-07-27T07-41-51-675Z,2026-07-27T07:42:23.772Z,s05,1,Smart-casual social event,Mild,Avoid white clothing,ok,,top_02,bottom_02,"The navy merino polo is smart-casual and refined, pairing nicely with beige chinos for a mild-weather social event. Both are versatile, avoid any white, and create a coherent, put-together look.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,3762,1,FALSE,claude-sonnet-5,low,v1,v1,5,5,5,5,5,5,,
2026-07-27T07-41-51-675Z-s05-2,2026-07-27T07-41-51-675Z,2026-07-27T07:42:27.358Z,s05,2,Smart-casual social event,Mild,Avoid white clothing,ok,,top_02,bottom_02,"The navy merino polo pairs well with beige chinos for a smart-casual look, suited to mild weather and avoiding any white items as requested.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,3586,1,FALSE,claude-sonnet-5,low,v1,v1,5,5,5,5,4,5,,
